country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,price_capture_kind,source_url,source_title,source_snapshot,source_snapshots
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZVDEUB,cash,1459.0,1459.00 EUR,EUR,,True,orange_adapter_live,2026-03-24T12:13:04.793066+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-s26-ultra-5g-256gb-azul/3004217.html,Galaxy S26 Ultra 5G 256 GB,,
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZVDEUB,financing_max_term,25.5,25.50 EUR,EUR/month,48,True,orange_adapter_live,2026-03-24T12:13:04.807817+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-s26-ultra-5g-256gb-azul/3004217.html,Galaxy S26 Ultra 5G 256 GB,,
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZVGEUB,cash,1009.0,1009.00 EUR,EUR,,True,orange_adapter_live,2026-03-24T12:13:05.735166+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-s26-5g-256gb-negro/3004223.html,Galaxy S26 5G 256 GB,,
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZVGEUB,financing_max_term,18.0,18.00 EUR,EUR/month,48,True,orange_adapter_live,2026-03-24T12:13:05.741850+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-s26-5g-256gb-negro/3004223.html,Galaxy S26 5G 256 GB,,
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy A17 5G,128,SM-A176BZKAEUB,cash,180.0,180.00 EUR,EUR,,True,orange_adapter_live,2026-03-24T12:13:04.751535+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-a17-5g-128gb-negro/3004039.html,Galaxy A17 5G 128 GB,,
ES,Orange,orange,Samsung,Samsung,mobile,Samsung Galaxy A17 5G,128,SM-A176BZKAEUB,financing_max_term,3.0,3.00 EUR,EUR/month,48,True,orange_adapter_live,2026-03-24T12:13:04.777804+00:00,visible_dom,https://www.orange.es/dispositivos/moviles/samsung/galaxy-a17-5g-128gb-negro/3004039.html,Galaxy A17 5G 128 GB,,
ES,Orange,orange,Samsung,Samsung,tablet,Samsung Galaxy Tab S11 Ultra wifi,256,SM-X930NZAREUB,cash,1165.0,1165.00 EUR,EUR,,True,orange_adapter_live,2026-03-24T12:13:04.711476+00:00,visible_dom,https://www.orange.es/dispositivos/tablets/samsung/galaxy-tab-s11-ultra-wifi-256gb/3711109.html,Galaxy Tab S11 Ultra Wifi 256 GB,,
ES,Orange,orange,Samsung,Samsung,tablet,Samsung Galaxy Tab S11 Ultra wifi,256,SM-X930NZAREUB,financing_max_term,20.0,20.00 EUR,EUR/month,48,True,orange_adapter_live,2026-03-24T12:13:04.735203+00:00,visible_dom,https://www.orange.es/dispositivos/tablets/samsung/galaxy-tab-s11-ultra-wifi-256gb/3711109.html,Galaxy Tab S11 Ultra Wifi 256 GB,,
ES,Orange,orange,Samsung,Samsung,laptop,Samsung Galaxy Book4 15,512,NP754XGJ-KG2ES,cash,843.0,843.00 EUR,EUR,,True,orange_adapter_live,2026-03-24T12:13:07.218325+00:00,visible_dom,https://www.orange.es/dispositivos/portatiles/samsung/galaxy-book4-edge-15-qc-512gb-office365-gris/3240734.html,Galaxy Book4 Edge 15 QC 8Core 512 GB + Office 365,,
ES,Orange,orange,Samsung,Samsung,laptop,Samsung Galaxy Book4 15,512,NP754XGJ-KG2ES,financing_max_term,14.75,14.75 EUR,EUR/month,48,True,orange_adapter_live,2026-03-24T12:13:07.235152+00:00,visible_dom,https://www.orange.es/dispositivos/portatiles/samsung/galaxy-book4-edge-15-qc-512gb-office365-gris/3240734.html,Galaxy Book4 Edge 15 QC 8Core 512 GB + Office 365,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S25,256,SM-S931BZSGEUB,cash,969.0,969.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:11.042484+00:00,api_exact,https://www.elcorteingles.es/electronica/A54124496-samsung-galaxy-s25-12gb-256-gb-movil-libre/,Samsung Galaxy S25 12GB + 256 GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,tablet,Samsung Galaxy Tab A11+ Wifi,128,SM-X230NZAREUB,cash,199.0,199.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:11.034750+00:00,api_exact,https://www.elcorteingles.es/electronica/A57315176-tablet-samsung-galaxy-tab-a11-wi-fi-6-gb-128-gb/,Tablet Samsung Galaxy Tab A11+ Wi-Fi 6 GB + 128 GB,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZVGEUB,cash,999.0,999.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:11.001643+00:00,api_exact,https://www.elcorteingles.es/electronica/A200297309-samsung-galaxy-s26-12gb-256gb-movil-libre/,Samsung Galaxy S26 12GB + 256GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,tablet,Samsung Galaxy Tab S11 Ultra wifi,256,SM-X930NZAREUB,cash,1239.0,1239.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:11.251844+00:00,api_exact,https://www.elcorteingles.es/electronica/A56390872-tablet-samsung-galaxy-tab-s11-ultra-12gb-256gb/,Tablet Samsung Galaxy Tab S11 Ultra 12GB+256GB,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,cash,1249.0,1249.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:16.062993+00:00,api_exact,https://www.elcorteingles.es/electronica/A200297317-samsung-galaxy-s26-12gb-256gb-movil-libre/,Samsung Galaxy S26+ 12GB + 256GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,tablet,Samsung Galaxy Tab S10 Lite WiFi,128,SM-X400NZAREUB,cash,339.0,339.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:15.594804+00:00,api_exact,https://www.elcorteingles.es/electronica/A56391044-tablet-samsung-galaxy-tab-s10-lite-wi-fi-6gb-128gb/,Tablet Samsung Galaxy Tab S10 Lite Wi-Fi 6GB+128GB,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy A17 5G,128,SM-A176BZKAEUB,cash,184.9,184.90 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:15.768260+00:00,api_exact,https://www.elcorteingles.es/electronica/A56886421-samsung-galaxy-a17-4gb-128gb-movil-libre/,Samsung Galaxy A17 4GB + 128GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,tablet,Samsung Galaxy Tab S10 FE Wi-Fi,128,SM-X520NZAREUB,cash,479.0,479.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:18.857685+00:00,api_exact,https://www.elcorteingles.es/electronica/A54956756-tablet-samsung-galaxy-tab-s10-fe-8-gb-128-gb-wi-fi/,Tablet Samsung Galaxy Tab S10 FE 8 GB + 128 GB Wi-Fi,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZVDEUB,cash,1449.0,1449.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:18.922827+00:00,api_exact,https://www.elcorteingles.es/electronica/A200297325-samsung-galaxy-s26-ultra-12gb-256gb-movil-libre/,Samsung Galaxy S26 Ultra 12GB + 256GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,512,SM-S948BZKGEEB,cash,1649.0,1649.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:18.804313+00:00,api_exact,https://www.elcorteingles.es/electronica/A200297329-samsung-galaxy-s26-ultra-12gb-512gb-movil-libre/,Samsung Galaxy S26 Ultra 12GB + 512GB móvil libre,,
ES,El Corte Ingles,el_corte_ingles,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,1024,SM-S948BZKHEUB,cash,1949.0,1949.00 EUR,EUR,,True,el_corte_ingles_adapter_live,2026-03-24T12:13:22.353742+00:00,api_exact,https://www.elcorteingles.es/electronica/A200297333-samsung-galaxy-s26-ultra-16gb-1tb-movil-libre/,Samsung Galaxy S26 Ultra 16GB + 1TB móvil libre,,
